Rank,RatingTomatometer,Title,No. of Reviews
1.0,98%,Portrait of a Lady on Fire (Portrait de la jeune fille en feu) (2020),303
2.0,89%,1917 (2020),448
3.0,91%,The Invisible Man (2020),392
4.0,99%,Never Rarely Sometimes Always (2020),203
5.0,98%,Hamilton (2020),183
6.0,92%,Da 5 Bloods (2020),282
7.0,97%,Sound of Metal (2020),175
8.0,96%,Nomadland (2020),185
9.0,99%,Miss Juneteenth (2020),120
10.0,88%,Onward (2020),324
11.0,100%,His House (2020),92
12.0,98%,Wolfwalkers (2020),127
13.0,100%,Crip Camp: A Disability Revolution (2020),88
14.0,99%,Ma Rainey's Black Bottom (2020),104
15.0,90%,The Trial of the Chicago 7 (2020),276
16.0,94%,Palm Springs (2020),197
17.0,99%,Time (2020),99
18.0,92%,The Personal History of David Copperfield (2020),230
19.0,100%,Host (2020),76
20.0,98%,Blow the Man Down (2020),114
21.0,100%,Dick Johnson Is Dead (2020),75
22.0,99%,Collective (Colectiv) (2020),92
23.0,92%,The Vast of Night (2020),225
24.0,99%,Saint Frances (2020),90
25.0,98%,The Forty-Year-Old Version (2020),108
26.0,96%,First Cow (2020),145
27.0,100%,Driveways (2020),66
28.0,100%,76 Days (2020),65
29.0,99%,Totally Under Control (2020),83
30.0,97%,David Byrne's American Utopia (2020),117
31.0,100%,Minari (2020),59
32.0,100%,Mucho Mucho Amor: The Legend of Walter Mercado (2020),59
33.0,92%,The Assistant (2020),212
34.0,100%,Welcome to Chechnya (2020),58
35.0,100%,All In: The Fight for Democracy (2020),57
36.0,100%,Athlete A (2020),54
37.0,98%,Corpus Christi (Boze cialo) (2020),90
38.0,97%,One Night in Miami (2020),109
39.0,99%,On the Record (2020),70
40.0,98%,Extra Ordinary (2020),89
41.0,100%,City Hall (2020),49
42.0,100%,Slay the Dragon (2020),47
43.0,100%,House of Hummingbird (Beolsae) (2020),44
44.0,93%,Possessor: Uncut (2020),177
45.0,100%,A Secret Love (2020),42
46.0,100%,Rewind (2020),42
47.0,97%,The Painter and the Thief (2020),99
48.0,100%,Coup 53 (2020),41
49.0,100%,Mystify: Michael Hutchence (2020),40
50.0,97%,The Half of It (2020),90
51.0,91%,Relic (2020),204
52.0,98%,The Fight (2020),65
53.0,98%,Soul (2020),65
54.0,94%,Babyteeth (2020),136
55.0,98%,Beats (2020),58
56.0,94%,Boys State (2020),134
57.0,98%,Vitalina Varela (2020),55
58.0,98%,Circus of Books (2020),55
59.0,97%,La Llorona (2020),74
60.0,98%,Rocks (2020),52
61.0,97%,"Why Don't You Just Die! (Papa, sdokhni) (2020)",70
62.0,98%,Anything for Jackson (2020),50
63.0,98%,Spontaneous (2020),50
64.0,98%,The Swerve (2020),50
65.0,98%,Disclosure (2020),49
66.0,91%,Enola Holmes (2020),183
67.0,98%,Farewell Amor (2020),48
68.0,86%,Borat: Subsequent Moviefilm (2020),276
69.0,98%,Red Penguins (2020),44
70.0,98%,Fourteen (2020),43
71.0,98%,The Last Tree (2020),43
72.0,97%,Saint Maud (2020),61
73.0,94%,"Yes, God, Yes (2020)",113
74.0,96%,A Shaun the Sheep Movie: Farmageddon (2020),74
75.0,96%,Feels Good Man (2020),72
76.0,96%,John Lewis: Good Trouble (2020),68
77.0,96%,"A White, White Day (Hvítur, hvítur dagur) (2020)",67
78.0,78%,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn) (2020),412
79.0,87%,Emma. (2020),238
80.0,84%,Just Mercy (2020),291
81.0,87%,Shirley (2020),228
82.0,96%,Blood on Her Name (2020),54
83.0,91%,Bacurau (Nighthawk) (2020),150
84.0,96%,Shithouse (2020),52
85.0,86%,On The Rocks (2020),243
86.0,96%,Zappa (2020),50
87.0,96%,Class Action Park (2020),49
88.0,96%,Dating Amber (2020),45
89.0,89%,Kajillionaire (2020),178
90.0,93%,Ordinary Love (2020),101
91.0,84%,Mank (2020),274
92.0,95%,Black Is King (2020),59
93.0,94%,The Life Ahead (2020),78
94.0,94%,Beastie Boys Story (2020),77
95.0,95%,Lucky Grandma (2020),56
96.0,88%,Les Misérables (2020),187
97.0,94%,Calm with Horses (The Shadow of Violence) (2020),65
98.0,93%,And Then We Danced (2020),83
99.0,95%,My Darling Vivian (2020),44
100.0,95%,Dinner in America (2020),44
